#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818789998934,0.00372843,0.00106526,-0.0207727,9.80665,-0.311246,0.0885855
1636273818791967183,0.000532632,0.00798948,-0.0239685,9.88566,-0.323217,0.146046
1636273818807947385,0.0015979,0,-0.0181095,9.8282,-0.356736,0.0981623
1636273818810947312,0.00319579,0.0015979,-0.0239685,9.87848,-0.301669,0.110133
1636273818812956917,0.00319579,0.00213053,-0.0207727,9.78989,-0.339977,0.0885855
1636273818814944972,0.00266316,-0.000532632,-0.0197074,9.8258,-0.337582,0.105345
1636273818815955622,0.00479369,0.00213053,-0.0197074,9.90721,-0.349553,0.138864
1636273818818945619,0.000532632,0.00266316,-0.0154463,9.8689,-0.361524,0.114922
1636273818819950540,0.0015979,0.00266316,-0.0165116,9.83778,-0.339977,0.141258
1636273818822980833,0.00266316,0.00372843,-0.0207727,9.81862,-0.318429,0.102951
1636273818824977008,0,0.00426106,-0.026099,9.83299,-0.347159,0.100556
1636273818827970755,0.00372843,-0.0015979,-0.0181095,9.86411,-0.37589,0.148441
1636273818829965661,0.00532632,-0.0015979,-0.0218379,9.79707,-0.270545,0.0909797
1636273818831967104,0.00426106,-0.000532632,-0.0181095,9.87369,-0.28491,0.0933739
1636273818833973559,0.00585895,0.0015979,-0.0191748,9.81623,-0.325611,0.110133
1636273818834973352,0.0015979,0.00266316,-0.0149137,9.83059,-0.390255,0.184354
1636273818837951478,0.00266316,-0.00213053,-0.015979,9.89284,-0.337582,0.110133
1636273818838948223,0,-0.000532632,-0.0175769,9.85932,-0.368707,0.0814029
1636273818841946817,0.00585895,0.00213053,-0.015979,9.83778,-0.287304,0.100556
1636273818843978444,0.00532632,0.0015979,-0.0197074,9.84496,-0.344765,0.122104
1636273818846944712,0.0015979,0.000532632,-0.0218379,9.87369,-0.373495,0.0957681
1636273818848970327,0.00266316,0,-0.0218379,9.84975,-0.347159,0.0837971
1636273818851041334,0.0015979,-0.000532632,-0.0197074,9.90242,-0.349553,0.126893
1636273818852953875,-0.00106526,0.00532632,-0.0181095,9.79707,-0.335188,0.114922
1636273818853948390,0.00213053,0.00692422,-0.0213053,9.88566,-0.361524,0.0407014
1636273818856969704,0.00213053,0.0015979,-0.02024,9.8689,-0.35913,0.11971
1636273818872947663,0.00266316,-0.00106526,-0.0213053,9.85453,-0.339977,0.071826
1636273818875958616,-0.000532632,0.0015979,-0.0218379,9.82341,-0.349553,0.126893
1636273818877948910,0.00266316,-0.000532632,-0.0213053,9.81623,-0.323217,0.126893
1636273818879952257,0.00372843,0.000532632,-0.0197074,9.7851,-0.356736,0.122104
1636273818881948542,0.00266316,0.000532632,-0.0223706,9.84496,-0.339977,0.134075
1636273818883951828,0.00319579,0.000532632,-0.0234358,9.85214,-0.37589,0.136469
1636273818885955066,0.00585895,0.0015979,-0.0197074,9.90481,-0.294487,0.112527
1636273818886945523,0.00319579,0,-0.0149137,9.84017,-0.354342,0.112527
1636273818889989659,0,0.00213053,-0.0191748,9.87608,-0.306458,0.131681
1636273818891963960,0.00532632,0.00266316,-0.0170442,9.83538,-0.356736,0.146046
1636273818893962453,0.00266316,-0.00213053,-0.0213053,9.82341,-0.335188,0.150835
1636273818896007533,0.00213053,0.00213053,-0.02024,9.84256,-0.380678,0.114922
1636273818898951939,0.00319579,-0.00213053,-0.0207727,9.7851,-0.339977,0.143652
1636273818900950088,0.00372843,0.00106526,-0.0197074,9.8258,-0.371101,0.150835
1636273818902984684,0.00532632,0,-0.0181095,9.80904,-0.378284,0.153229
1636273818904951164,0.00426106,0.0015979,-0.0154463,9.87369,-0.366313,0.102951
1636273818905979868,0.00585895,0.000532632,-0.0138484,9.79947,-0.328006,0.131681
1636273818908980190,0.00319579,-0.000532632,-0.0250337,9.84735,-0.380678,0.143652
1636273818910978531,0.00106526,-0.00266316,-0.0186421,9.83299,-0.368707,0.117316
1636273818912987213,0.00319579,-0.00106526,-0.0106526,9.83778,-0.356736,0.102951
1636273818914945267,0,0.000532632,-0.0197074,9.85453,-0.40462,0.107739
1636273818915950423,0.00213053,0.00266316,-0.0191748,9.92636,-0.361524,0.136469
1636273818918951079,0.000532632,0.00532632,-0.0213053,9.88566,-0.344765,0.100556
1636273818921950049,0.0015979,0,-0.0186421,9.81383,-0.390255,0.124498
1636273818923945013,0.00798948,0.0015979,-0.0213053,9.87608,-0.304064,0.102951
